variable,value,label,meta
CodP160,65,San Juan Yapacani,NA
CodP160,66,San Miguel de Kataty,NA
CodP160,67,San Pedro,NA
CodP160,68,San Ramon (Sta),NA
CodP160,69,San Ramón (Beni),NA
CodP160,70,Santa Cruz,NA
CodP160,71,Santa Fé de Yapacani,NA
CodP160,72,Santa Rita,NA
CodP160,73,Santa Rosa,NA
CodP160,74,Santiago de Huari,NA
CodP160,75,Sauce Rancho,NA
CodP160,76,Shinahota,NA
CodP160,77,Sipe Sipe,NA
CodP160,78,Sucre,NA
CodP160,79,Sunchu Pampa,NA
CodP160,80,Taratuma,NA
CodP160,81,Tarija,NA
CodP160,82,Tres Cruces,NA
CodP160,83,Trinidad,NA
CodP160,84,Tumarapi,NA
CodP160,85,Tupiza,NA
CodP160,86,Uyuni,NA
CodP160,87,Valle Grande,NA
CodP160,88,Villa Busch,NA
CodP160,89,Villa Rojas,NA
CodP160,90,Villa Viluyo,NA
CodP160,91,Villomilla/ Villcabamba,NA
CodP160,92,Vinto,NA
CodP160,93,Vinto Cancha Grande,NA
CodP160,94,Vivicha,NA
CodP160,95,Warnes,NA
CodP160,96,Yacuiba,NA
CodP160,97,Zapatera,NA
Ponderador5536,NA,Ponderador población total,varlab
Ponderador5033,NA,Ponderador población internauta,varlab
Nse,NA,Nivel Socioeconómico,varlab
Nse,1,Bajo Extremo,NA
Nse,2,Medio Bajo,NA
Nse,3,Medio Típico,NA
Nse,4,Medio Alto,NA
Nse,5,Alto,NA
